LocationID|DisasterNo|Location|Latitude|Longitude
251|1972-0025-YUG|Belgrade, Serbia|44.8125449|20.46123
252|1972-0060-ESP|Alicante, Spain|38.3460627|-0.4907945
253|1972-0061-DFR|Lower Saxony, Germany|52.6367036|9.8450765
254|1972-0084-ITA|Ancona, Province of Ancona, Italy|43.6158299|13.518915
255|1972-0144-GBR|Belfast, UK|54.59728500000001|-5.93012
256|1972-0144-GBR|Glasgow, UK|55.86167039999999|-4.2583345
257|1972-0144-GBR|Birmingham, UK|52.48624299999999|-1.890401
258|1972-0144-GBR|Edinburgh, UK|55.953252|-3.188267
259|1972-0144-GBR|Manchester, UK|53.4807593|-2.2426305
260|1972-0144-GBR|London, UK|51.5072178|-0.1275862
261|1972-0150-ITA|Ancona, Province of Ancona, Italy|43.6158299|13.518915
262|1973-0001-ITA|Sicily, Italy|37.5999938|14.0153557
263|1973-0010-ESP|Spain|40.46366700000001|-3.74922
264|1973-0011-PRT|Portugal|39.39987199999999|-8.224454
265|1973-0012-ISL|Heimaey, Iceland|63.42771699999999|-20.2673821
266|1973-0032-ITA|Italian Riviera, Italy|44.49715200000001|8.9534364
267|1973-0041-ITA|Palermo, PA, Italy|38.11569|13.3614868
268|1973-0046-ESP|Almería, Spain|36.834047|-2.4637136
269|1973-0046-ESP|Granada, Spain|37.1774605|-3.5984368
270|1973-0046-ESP|Murcia, Spain|37.9922399|-1.1306544
271|1974-0009-CSK|Tatra Mountains|49.1556982|20.0442995
272|1974-0036-SUN|Pamir Mountains, Tajikistan|39.0|72.0
273|1974-0043-DFR|Bavaria, Germany|48.7904472|11.4978895
274|1974-0043-DFR|Lower Saxony, Germany|52.6367036|9.8450765
275|1974-0060-ISL|Neskaupstadur, Iceland|65.147496|-13.6821817
276|1975-0024-CHE|Switzerland|46.818188|8.227511999999999
277|1975-0025-ITA|Alps|46.8873983|9.6567822
278|1975-0026-AUT|Austria|47.516231|14.550072
279|1975-0035-ROU|Romania|45.943161|24.96676
280|1976-0020-ISL|Kópasker, Iceland|66.3022945|-16.4475814
281|1976-0037-ITA|Friuli-Venezia Giulia, Italy|46.2259177|13.1033646
282|1976-0039-SUN|Bukhara, Uzbekistan|39.7680827|64.4555769
283|1976-0039-SUN|Gazli, Uzbekistan|40.1274545|63.45670919999999
284|1976-0161-BEL|Ruisbroek, 2870 Puurs-Sint-Amands, Belgium|51.08799|4.33107
285|1976-0161-BEL|Ruisbroek, 1601 Sint-Pieters-Leeuw, Belgium|50.79035|4.29862
286|1976-0172-GBR|Glasgow, UK|55.86167039999999|-4.2583345
287|1976-0172-GBR|London, UK|51.5072178|-0.1275862
288|1976-0172-GBR|Birmingham, UK|52.48624299999999|-1.890401
289|1976-0172-GBR|Edinburgh, UK|55.953252|-3.188267
290|1976-0172-GBR|Manchester, UK|53.4807593|-2.2426305
291|1976-0195-ITA|Friuli-Venezia Giulia, Italy|46.2259177|13.1033646
292|1976-0196-ITA|Italy|41.87194|12.56738
293|1977-0048-BGR|"ul. ""Svishtov"", 7012 g.k. Hashove, Ruse, Bulgaria"|43.8396686|25.9574604
294|1977-0048-ROU|Bucharest, Romania|44.4267674|26.1025384
295|1977-0063-ITA|Turin, Metropolitan City of Turin, Italy|45.0703393|7.686864
296|1977-0084-FRA|Gers, France|43.6366479|0.4502368
297|1977-0101-POL|Poland|51.919438|19.145136
298|1977-0122-ITA|Po Valley, 46018 Sabbioneta, Province of Mantua, Italy|45.0|10.5
299|1977-0129-GRC|Piraeus, Greece|37.9429857|23.6469832
300|1977-0139-SWE|Gothenburg, Sweden|57.70887|11.97456
301|1977-0209-CHE|Uri, Switzerland|46.7738629|8.602515300000002
302|1977-0211-GBR|Glasgow, UK|55.86167039999999|-4.2583345
303|1977-0211-GBR|Belfast, UK|54.59728500000001|-5.93012
304|1977-0211-GBR|Edinburgh, UK|55.953252|-3.188267
305|1977-0211-GBR|Manchester, UK|53.4807593|-2.2426305
306|1977-0211-GBR|Cardiff, UK|51.483707|-3.1680962
307|1977-0211-GBR|London, UK|51.5072178|-0.1275862
308|1977-0211-GBR|Birmingham, UK|52.48624299999999|-1.890401
309|1978-0010-FRA|Marseille, France|43.296482|5.36978
310|1978-0057-ITA|Sicily, Italy|37.5999938|14.0153557
311|1978-0062-DFR|Germany|51.165691|10.451526
312|1978-0077-ESP|Spain|40.46366700000001|-3.74922
313|1978-0081-GRC|Thessaloniki, Greece|40.6400629|22.9444191
314|1978-0082-ITA|33100 Udine, Province of Udine, Italy|46.0710668|13.2345794
315|1978-0113-DFR|Swabian Jura, 72531 Hohenstein, Germany|48.300582|9.354624
316|1979-0001-PRT|Madeira, Portugal|32.76070740000001|-16.9594723
317|1979-0014-DFR|Germany|51.165691|10.451526
318|1979-0021-PRT|Portugal|39.39987199999999|-8.224454
319|1979-0039-ALB|Albania|41.153332|20.168331
320|1979-0039-YUG|Montenegro|42.708678|19.37439
321|1979-0052-YUG|Ulcinj, Montenegro|41.9310884|19.2147632
322|1979-0052-YUG|Debar, North Macedonia|41.51975729999999|20.5289
323|1979-0052-YUG|Kotor, Montenegro|42.424662|18.771234
324|1979-0087-ITA|Sicily, Italy|37.5999938|14.0153557
325|1979-0101-YUG|Montenegro|42.708678|19.37439
326|1979-0105-GRC|Greece|39.074208|21.824312
327|1979-0216-ITA|Valnerina, Italy|42.7900342|13.0934438
328|1979-0259-FRA|French Riviera, France|43.2547731|6.637857700000001
329|1979-0260-ESP|Valdepeñas, Ciudad Real, Spain|38.7605618|-3.3876655
330|1980-0001-AZO|São Jorge, Portugal|38.6409678|-28.0303189
331|1980-0001-AZO|Santa Maria Island, 9580, Portugal|36.9788003|-25.1059054
332|1980-0001-AZO|Terceira Island, Portugal|38.7216415|-27.2205771
333|1980-0046-YUG|Kuršumlija, Serbia|43.1411177|21.272156
334|1980-0046-YUG|Aleksandrovac, Serbia|43.4584685|21.0499304
335|1980-0046-YUG|Mire Stupice, Kopaonik 36354, Serbia|43.2759968|20.7644112
336|1980-0060-POL|Szczecin, Poland|53.4285438|14.5528116
337|1980-0060-POL|Bydgoszcz, Poland|53.12348040000001|18.0084378
338|1980-0060-POL|Łódź, Poland|51.7592485|19.4559833
339|1980-0060-POL|Lublin, Poland|51.2464536|22.5684463
340|1980-0060-POL|Poznań, Poland|52.406374|16.9251681
341|1980-0060-POL|Katowice, Poland|50.26489189999999|19.0237815
342|1980-0060-POL|Gdańsk, Poland|54.35202520000001|18.6466384
343|1980-0060-POL|Wrocław, Poland|51.1078852|17.0385376
344|1980-0060-POL|Kraków, Poland|50.06465009999999|19.9449799
345|1980-0060-POL|Warsaw, Poland|52.2296756|21.0122287
346|1980-0103-ITA|81100 Caserta, Province of Caserta, Italy|41.0854362|14.367553
347|1980-0103-ITA|83100 Avellino, Province of Avellino, Italy|40.914388|14.7906121
348|1980-0103-ITA|Naples, Metropolitan City of Naples, Italy|40.8517983|14.26812
349|1980-0103-ITA|85100 Potenza, Province of Potenza, Italy|40.6404067|15.8056041
350|1980-0233-AUT|Styria, Austria|47.3593442|14.4699827
351|1980-0234-DNK|Jutland|56.2237687|9.145141
352|1980-0237-FRA|France|46.227638|2.213749
353|1980-0237-FRA|Central Region, Ghana|5.644375399999999|-1.2891036
354|1980-0239-GRC|Volos, Greece|39.366584|22.9506769
355|1980-9359-ESP|Spain|40.46366700000001|-3.74922
356|1981-0033-GRC|Athens, Greece|37.9838096|23.7275388
357|1981-0033-GRC|Corinth 201 00, Greece|37.9386365|22.9322383
358|1981-0073-YUG|Banja Luka 78000, Bosnia and Herzegovina|44.7721811|17.191
359|1981-0114-PRT|Lisbon, Portugal|38.7222524|-9.1393366
360|1981-0122-GRC|Albania–Greece border|40.24978314999999|20.5329991
361|1981-0123-ITA|91026 Mazara del Vallo, Free municipal consortium of Trapani, Italy|37.6550933|12.5899615
362|1981-0212-AUT|Austria|47.516231|14.550072
363|1981-0213-BGR|Bulgaria|42.733883|25.48583
364|1981-0213-BGR|Northeast India|25.5736012|93.24725649999999
365|1981-0214-CSK|Prague, Czechia|50.0755381|14.4378005
366|1981-0214-CSK|Bratislava, Slovakia|48.1485965|17.1077477
367|1981-0217-FRA|Lot-et-Garonne, France|44.2470173|0.4502368
368|1981-0217-FRA|Gironde, France|44.84966499999999|-0.4502368
369|1981-0224-ITA|Italy|41.87194|12.56738
370|1981-0267-YUG|Serbia|44.016521|21.005859
371|1981-0282-GBR|Belfast, UK|54.59728500000001|-5.93012
372|1981-0282-GBR|Glasgow, UK|55.86167039999999|-4.2583345
373|1981-0282-GBR|Birmingham, UK|52.48624299999999|-1.890401
374|1981-0282-GBR|Edinburgh, UK|55.953252|-3.188267
375|1981-0282-GBR|Cardiff, UK|51.483707|-3.1680962
376|1981-0282-GBR|London, UK|51.5072178|-0.1275862
377|1981-0282-GBR|Manchester, UK|53.4807593|-2.2426305
378|1982-0003-POL|Płock, Poland|52.5463446|19.7065364
379|1982-0035-ITA|83100 Avellino, Province of Avellino, Italy|40.914388|14.7906121
380|1982-0035-ITA|85100 Potenza, Province of Potenza, Italy|40.6404067|15.8056041
381|1982-0084-CHE|Ticino, Switzerland|46.331734|8.800452900000002
382|1982-0106-ITA|Perugia, Province of Perugia, Italy|43.1107168|12.3908279
383|1982-0113-ESP|Alicante, Spain|38.3459963|-0.4906855
384|1982-0117-ESP|Spain|40.46366700000001|-3.74922
385|1982-0119-FRA|Charente, France|45.7519958|0.1534761
